Date,Timestamp,Ballots Counted So Far,Registered Voters,Turnout So Far,Ballots added to count since last update,Estimated Total Unprocessed Ballots,Ballots Left to Cure,Jurisdiction
2024-11-05,23:46:00,8647455,22595659,0.383,,,,California
2024-11-06,08:10:00,9928632,22595659,0.439,1281177,,,California
2024-11-06,17:34:00,10185583,22595659,0.451,256951,,,California
2024-11-07,17:37:00,10728985,22595659,0.475,543402,5472423,127586,California
2024-11-08,17:12:00,11547454,22595659,0.511,818469,4953569,142335,California
2024-11-09,16:33:00,11822937,22595659,0.523,275483,4953569,142335,California
2024-11-10,19:32:00,12620100,22595659,0.559,797163,4953569,142335,California
2024-11-11,17:07:00,13223988,22595659,0.585,603888,4953569,142335,California
2024-11-12,09:26:00,13324339,22595659,0.59,100351,2626480,161477,California
2024-11-12,19:20:00,13896288,22595659,0.616,571949,2469490,161075,California
2024-11-13,10:32:00,13896393,22595659,0.615,105,2151467,139778,California
2024-11-14,03:14:00,14412338,22595659,0.638,515945,1856348,139778,California
2024-11-14,18:06:00,14663994,22595659,0.649,251656,1513597,132612,California
2024-11-15,19:06:00,15288357,22595659,0.677,624363,883773,128500,California
2024-11-16,17:52:00,15326570,22595659,0.678,38213,789006,127286,California
2024-11-18,09:30:00,15362349,22595659,0.68,35779,784464,128693,California
2024-11-18,18:44:00,15488256,22595659,0.685,125907,694669,128483,California
2024-11-19,18:02:00,15662328,22595659,0.693,174072,570489,126318,California
2024-11-20,17:52:00,15739183,22595659,0.697,76855,459192,121486,California
2024-11-21,18:41:00,15829175,22595659,0.701,89992,357115,118310,California
2024-11-22,20:02:00,15922899,22595659,0.705,93724,255002,114613,California
2024-11-23,17:53:00,15947484,22595659,0.706,24585,227460,112123,California
2024-11-24,,15947484,22595659,0.706,0,227460,112123,California
2024-11-25,17:56:00,15967934,22595659,0.707,20450,182903,109485,California
2024-11-26,19:14:00,16008362,22595659,0.708,40428,159441,105152,California
2024-11-27,21:09:00,16093785,22595659,0.712,85423,89393,99780,California
2024-11-28,,16093785,22595659,0.712,0,89393,99780,California
2024-11-29,18:55:00,16095492,22595659,0.712,1707,46704,98238,California
2024-12-01,15:19:00,16103314,22595659,0.713,7822,46704,98238,California
2024-12-02,09:15:00,16103314,22595659,0.713,0,37533,96530,California
2024-12-02,21:09:00,16119359,22595659,0.713,16045,27101,91003,California
2024-12-03,23:53:00,16139934,22595659,0.714,20575,2422,32287,California
2024-12-04,20:15:00,16140616,22595659,0.714,682,0,26857,California
2024-12-05,10:16:00,16140044,22595659,0.714,-572,0,26918,California
